Fecha;Porcentaje
2/5/2023;0,12
3/5/2023;0,09
4/5/2023;0,09
5/5/2023;0,11
6/5/2023;0,16
7/5/2023;0,14
8/5/2023;0,10
9/5/2023;0,13
10/5/2023;0,08
11/5/2023;0,07
12/5/2023;0,12
13/5/2023;0,18
14/5/2023;0,14
15/5/2023;0,11
16/5/2023;0,09
17/5/2023;0,13
18/5/2023;0,09
19/5/2023;0,14
20/5/2023;0,15
21/5/2023;0,11
22/5/2023;0,11
23/5/2023;0,12
24/5/2023;0,05
25/5/2023;0,14
26/5/2023;0,15
27/5/2023;0,13
28/5/2023;0,09
29/5/2023;0,09
30/5/2023;0,11
31/5/2023;0,09
1/6/2023;0,08
2/6/2023;0,17
3/6/2023;0,17
4/6/2023;0,09
5/6/2023;0,13
6/6/2023;0,10
7/6/2023;0,11
8/6/2023;0,08
9/6/2023;0,15
10/6/2023;0,14
11/6/2023;0,10
12/6/2023;0,14
13/6/2023;0,09
14/6/2023;0,12
15/6/2023;0,07
16/6/2023;0,15
17/6/2023;0,19
18/6/2023;0,10
19/6/2023;0,14
20/6/2023;0,12
21/6/2023;0,10
22/6/2023;0,08
23/6/2023;0,16
24/6/2023;0,11
25/6/2023;0,09
26/6/2023;0,11
27/6/2023;0,10
28/6/2023;0,06
29/6/2023;0,13
30/6/2023;0,16
1/7/2023;0,25
2/7/2023;0,21
3/7/2023;0,25
4/7/2023;0,27
5/7/2023;0,26
6/7/2023;0,29
7/7/2023;0,23
8/7/2023;0,25
9/7/2023;0,24
10/7/2023;0,26
11/7/2023;0,28
12/7/2023;0,23
13/7/2023;0,26
14/7/2023;0,30
15/7/2023;0,29
16/7/2023;0,24
17/7/2023;0,26
18/7/2023;0,25
19/7/2023;0,26
20/7/2023;0,26
21/7/2023;0,27
22/7/2023;0,27
23/7/2023;0,25
24/7/2023;0,23
25/7/2023;0,28
26/7/2023;0,25
27/7/2023;0,25
28/7/2023;0,22
29/7/2023;0,29
30/7/2023;0,21
31/7/2023;0,28
1/8/2023;0,12
2/8/2023;0,11
3/8/2023;0,12
4/8/2023;0,15
5/8/2023;0,13
6/8/2023;0,07
7/8/2023;0,10
8/8/2023;0,10
9/8/2023;0,09
10/8/2023;0,10
11/8/2023;0,15
12/8/2023;0,15
13/8/2023;0,10
14/8/2023;0,07
15/8/2023;0,07
16/8/2023;0,10
17/8/2023;0,11
18/8/2023;0,15
19/8/2023;0,14
20/8/2023;0,10
21/8/2023;0,08
22/8/2023;0,15
23/8/2023;0,10
24/8/2023;0,11
25/8/2023;0,14
26/8/2023;0,12
27/8/2023;0,10
28/8/2023;0,10
29/8/2023;0,11
30/8/2023;0,11
31/8/2023;0,08
1/9/2023;0,17
2/9/2023;0,15
3/9/2023;0,10
4/9/2023;0,12
5/9/2023;0,08
6/9/2023;0,12
7/9/2023;0,11
8/9/2023;0,13
9/9/2023;0,14
10/9/2023;0,08
11/9/2023;0,11
12/9/2023;0,11
13/9/2023;0,09
14/9/2023;0,10
15/9/2023;0,16
16/9/2023;0,15
17/9/2023;0,14
18/9/2023;0,11
19/9/2023;0,11
20/9/2023;0,13
21/9/2023;0,08
22/9/2023;0,16
23/9/2023;0,15
24/9/2023;0,09
25/9/2023;0,09
26/9/2023;0,11
27/9/2023;0,06
28/9/2023;0,08
29/9/2023;0,19
30/9/2023;0,16
1/10/2023;0,12
2/10/2023;0,11
3/10/2023;0,11
4/10/2023;0,09
5/10/2023;0,10
6/10/2023;0,18
7/10/2023;0,14
8/10/2023;0,11
9/10/2023;0,08
10/10/2023;0,07
11/10/2023;0,13
12/10/2023;0,06
13/10/2023;0,14
14/10/2023;0,16
15/10/2023;0,12
16/10/2023;0,10
17/10/2023;0,08
18/10/2023;0,11
19/10/2023;0,14
20/10/2023;0,16
21/10/2023;0,17
22/10/2023;0,11
23/10/2023;0,09
24/10/2023;0,10
25/10/2023;0,08
26/10/2023;0,14
27/10/2023;0,11
28/10/2023;0,12
29/10/2023;0,10
30/10/2023;0,10
31/10/2023;0,11
1/11/2023;0,14
2/11/2023;0,11
3/11/2023;0,12
4/11/2023;0,15
5/11/2023;0,07
6/11/2023;0,06
7/11/2023;0,09
8/11/2023;0,11
9/11/2023;0,08
10/11/2023;0,17
11/11/2023;0,15
12/11/2023;0,09
13/11/2023;0,06
14/11/2023;0,13
15/11/2023;0,12
16/11/2023;0,06
17/11/2023;0,14
18/11/2023;0,13
19/11/2023;0,08
20/11/2023;0,10
21/11/2023;0,10
22/11/2023;0,11
23/11/2023;0,10
24/11/2023;0,16
25/11/2023;0,16
26/11/2023;0,12
27/11/2023;0,08
28/11/2023;0,10
29/11/2023;0,07
30/11/2023;0,12
1/12/2023;0,14
2/12/2023;0,15
3/12/2023;0,12
4/12/2023;0,07
5/12/2023;0,10
6/12/2023;0,13
7/12/2023;0,04
8/12/2023;0,15
9/12/2023;0,15
10/12/2023;0,11
11/12/2023;0,09
12/12/2023;0,12
13/12/2023;0,09
14/12/2023;0,07
15/12/2023;0,32
16/12/2023;0,32
17/12/2023;0,33
18/12/2023;0,33
19/12/2023;0,29
20/12/2023;0,31
21/12/2023;0,31
22/12/2023;0,30
23/12/2023;0,33
24/12/2023;0,30
25/12/2023;0,30
26/12/2023;0,29
27/12/2023;0,26
28/12/2023;0,27
29/12/2023;0,31
30/12/2023;0,30
31/12/2023;0,28
