Fecha;Cantidad
25/4/2023;21
26/4/2023;22
27/4/2023;21
28/4/2023;23
29/4/2023;22
30/4/2023;21
1/5/2023;24
2/5/2023;24
3/5/2023;21
4/5/2023;23
5/5/2023;23
6/5/2023;21
7/5/2023;21
8/5/2023;24
9/5/2023;24
10/5/2023;19
11/5/2023;21
12/5/2023;25
13/5/2023;21
14/5/2023;19
15/5/2023;22
16/5/2023;20
17/5/2023;24
18/5/2023;20
19/5/2023;23
20/5/2023;22
21/5/2023;24
22/5/2023;24
23/5/2023;20
24/5/2023;21
25/5/2023;21
26/5/2023;21
27/5/2023;25
28/5/2023;26
29/5/2023;19
30/5/2023;25
31/5/2023;26
1/6/2023;23
2/6/2023;25
3/6/2023;17
4/6/2023;18
5/6/2023;22
6/6/2023;24
7/6/2023;23
8/6/2023;22
9/6/2023;19
10/6/2023;27
11/6/2023;21
12/6/2023;22
13/6/2023;25
14/6/2023;21
15/6/2023;20
16/6/2023;21
17/6/2023;25
18/6/2023;25
19/6/2023;25
20/6/2023;23
21/6/2023;21
22/6/2023;25
23/6/2023;24
24/6/2023;23
25/6/2023;20
26/6/2023;22
27/6/2023;24
28/6/2023;20
29/6/2023;24
30/6/2023;19
1/7/2023;17
2/7/2023;22
3/7/2023;25
4/7/2023;20
5/7/2023;25
6/7/2023;20
7/7/2023;21
8/7/2023;20
9/7/2023;22
10/7/2023;23
11/7/2023;20
12/7/2023;22
13/7/2023;25
14/7/2023;24
15/7/2023;20
16/7/2023;24
17/7/2023;20
18/7/2023;25
19/7/2023;22
20/7/2023;24
21/7/2023;21
22/7/2023;22
23/7/2023;21
24/7/2023;24
25/7/2023;22
26/7/2023;24
27/7/2023;21
28/7/2023;23
29/7/2023;21
30/7/2023;18
31/7/2023;21
1/8/2023;21
2/8/2023;23
3/8/2023;23
4/8/2023;25
5/8/2023;28
6/8/2023;22
7/8/2023;24
8/8/2023;22
9/8/2023;20
10/8/2023;22
11/8/2023;23
12/8/2023;23
13/8/2023;21
14/8/2023;26
15/8/2023;23
16/8/2023;19
17/8/2023;22
18/8/2023;23
19/8/2023;23
20/8/2023;22
21/8/2023;23
22/8/2023;26
23/8/2023;19
24/8/2023;24
25/8/2023;20
26/8/2023;22
27/8/2023;22
28/8/2023;23
29/8/2023;20
30/8/2023;18
31/8/2023;21
1/9/2023;18
2/9/2023;25
3/9/2023;22
4/9/2023;24
5/9/2023;24
6/9/2023;21
7/9/2023;23
8/9/2023;22
9/9/2023;24
10/9/2023;21
11/9/2023;23
12/9/2023;23
13/9/2023;20
14/9/2023;19
15/9/2023;23
16/9/2023;21
17/9/2023;18
18/9/2023;21
19/9/2023;21
20/9/2023;24
21/9/2023;22
22/9/2023;24
23/9/2023;24
24/9/2023;21
25/9/2023;23
26/9/2023;21
27/9/2023;24
28/9/2023;22
29/9/2023;21
30/9/2023;22
1/10/2023;20
2/10/2023;20
3/10/2023;29
4/10/2023;23
5/10/2023;21
6/10/2023;24
7/10/2023;21
8/10/2023;21
9/10/2023;18
10/10/2023;23
11/10/2023;23
12/10/2023;22
13/10/2023;22
14/10/2023;25
15/10/2023;21
16/10/2023;23
17/10/2023;22
18/10/2023;21
19/10/2023;23
20/10/2023;23
21/10/2023;20
22/10/2023;19
23/10/2023;24
24/10/2023;19
25/10/2023;23
26/10/2023;23
27/10/2023;24
28/10/2023;19
29/10/2023;22
30/10/2023;16
31/10/2023;21
1/11/2023;24
2/11/2023;21
3/11/2023;24
4/11/2023;21
5/11/2023;22
6/11/2023;25
7/11/2023;22
8/11/2023;23
9/11/2023;23
10/11/2023;21
11/11/2023;23
12/11/2023;19
13/11/2023;19
14/11/2023;25
15/11/2023;18
16/11/2023;21
17/11/2023;21
18/11/2023;20
19/11/2023;19
20/11/2023;25
21/11/2023;21
22/11/2023;22
23/11/2023;21
24/11/2023;21
25/11/2023;24
26/11/2023;19
27/11/2023;22
28/11/2023;21
29/11/2023;24
30/11/2023;29
1/12/2023;18
2/12/2023;23
3/12/2023;26
4/12/2023;21
5/12/2023;23
6/12/2023;23
7/12/2023;20
8/12/2023;19
9/12/2023;24
10/12/2023;23
11/12/2023;18
12/12/2023;22
13/12/2023;25
14/12/2023;19
15/12/2023;20
16/12/2023;22
17/12/2023;22
18/12/2023;24
19/12/2023;20
20/12/2023;21
21/12/2023;25
22/12/2023;26
23/12/2023;23
24/12/2023;22
25/12/2023;21
26/12/2023;20
27/12/2023;25
28/12/2023;17
29/12/2023;18
30/12/2023;23
31/12/2023;21
