Fecha;Cantidad
9/4/2023;212,00
10/4/2023;174,00
11/4/2023;186,00
12/4/2023;153,00
13/4/2023;178,00
14/4/2023;178,00
15/4/2023;226,00
16/4/2023;286,00
17/4/2023;277,00
18/4/2023;159,00
19/4/2023;135,00
20/4/2023;154,00
21/4/2023;216,00
22/4/2023;275,00
23/4/2023;300,00
24/4/2023;142,00
25/4/2023;209,00
26/4/2023;207,00
27/4/2023;165,00
28/4/2023;198,00
29/4/2023;271,00
30/4/2023;296,00
1/5/2023;265,00
2/5/2023;181,00
3/5/2023;190,00
4/5/2023;250,00
5/5/2023;225,00
6/5/2023;307,00
7/5/2023;333,00
8/5/2023;233,00
9/5/2023;214,00
10/5/2023;226,00
11/5/2023;262,00
12/5/2023;207,00
13/5/2023;168,00
14/5/2023;303,00
15/5/2023;191,00
16/5/2023;193,00
17/5/2023;203,00
18/5/2023;257,00
19/5/2023;227,00
20/5/2023;282,00
21/5/2023;290,00
22/5/2023;201,00
23/5/2023;182,00
24/5/2023;257,00
25/5/2023;277,00
26/5/2023;114,00
27/5/2023;325,00
28/5/2023;212,00
29/5/2023;173,00
30/5/2023;184,00
31/5/2023;225,00
1/6/2023;191,00
2/6/2023;220,00
3/6/2023;264,00
4/6/2023;159,00
5/6/2023;150,00
6/6/2023;206,00
7/6/2023;234,00
8/6/2023;187,00
9/6/2023;222,00
10/6/2023;228,00
11/6/2023;223,00
12/6/2023;261,00
13/6/2023;181,00
14/6/2023;208,00
15/6/2023;131,00
16/6/2023;201,00
17/6/2023;257,00
18/6/2023;300,00
19/6/2023;177,00
20/6/2023;187,00
21/6/2023;204,00
22/6/2023;136,00
23/6/2023;176,00
24/6/2023;291,00
25/6/2023;292,00
26/6/2023;210,00
27/6/2023;138,00
28/6/2023;203,00
29/6/2023;175,00
30/6/2023;212,00
1/7/2023;296,00
2/7/2023;311,00
3/7/2023;208,00
4/7/2023;275,00
5/7/2023;260,00
6/7/2023;197,00
7/7/2023;243,00
8/7/2023;395,00
9/7/2023;248,00
10/7/2023;134,00
11/7/2023;303,00
12/7/2023;281,00
13/7/2023;334,00
14/7/2023;249,00
15/7/2023;327,00
16/7/2023;201,00
17/7/2023;251,00
18/7/2023;271,00
19/7/2023;169,00
20/7/2023;220,00
21/7/2023;255,00
22/7/2023;281,00
23/7/2023;391,00
24/7/2023;241,00
25/7/2023;304,00
26/7/2023;257,00
27/7/2023;238,00
28/7/2023;254,00
29/7/2023;395,00
30/7/2023;322,00
31/7/2023;206,00
1/8/2023;187,00
2/8/2023;185,00
3/8/2023;175,00
4/8/2023;216,00
5/8/2023;200,00
6/8/2023;123,00
7/8/2023;207,00
8/8/2023;158,00
9/8/2023;181,00
10/8/2023;215,00
11/8/2023;194,00
12/8/2023;311,00
13/8/2023;272,00
14/8/2023;173,00
15/8/2023;108,00
16/8/2023;241,00
17/8/2023;246,00
18/8/2023;199,00
19/8/2023;307,00
20/8/2023;227,00
21/8/2023;210,00
22/8/2023;241,00
23/8/2023;274,00
24/8/2023;176,00
25/8/2023;224,00
26/8/2023;172,00
27/8/2023;238,00
28/8/2023;239,00
29/8/2023;189,00
30/8/2023;236,00
31/8/2023;182,00
1/9/2023;172,00
2/9/2023;249,00
3/9/2023;129,00
4/9/2023;246,00
5/9/2023;180,00
6/9/2023;218,00
7/9/2023;108,00
8/9/2023;225,00
9/9/2023;275,00
10/9/2023;301,00
11/9/2023;202,00
12/9/2023;236,00
13/9/2023;222,00
14/9/2023;236,00
15/9/2023;245,00
16/9/2023;214,00
17/9/2023;173,00
18/9/2023;257,00
19/9/2023;166,00
20/9/2023;181,00
21/9/2023;203,00
22/9/2023;198,00
23/9/2023;339,00
24/9/2023;260,00
25/9/2023;197,00
26/9/2023;214,00
27/9/2023;175,00
28/9/2023;225,00
29/9/2023;216,00
30/9/2023;186,00
1/10/2023;260,00
2/10/2023;216,00
3/10/2023;166,00
4/10/2023;127,00
5/10/2023;279,00
6/10/2023;208,00
7/10/2023;232,00
8/10/2023;280,00
9/10/2023;293,00
10/10/2023;169,00
11/10/2023;152,00
12/10/2023;241,00
13/10/2023;195,00
14/10/2023;205,00
15/10/2023;211,00
16/10/2023;175,00
17/10/2023;178,00
18/10/2023;165,00
19/10/2023;230,00
20/10/2023;209,00
21/10/2023;245,00
22/10/2023;260,00
23/10/2023;145,00
24/10/2023;169,00
25/10/2023;224,00
26/10/2023;164,00
27/10/2023;193,00
28/10/2023;173,00
29/10/2023;215,00
30/10/2023;150,00
31/10/2023;265,00
1/11/2023;225,00
2/11/2023;145,00
3/11/2023;170,00
4/11/2023;257,00
5/11/2023;236,00
6/11/2023;257,00
7/11/2023;163,00
8/11/2023;150,00
9/11/2023;198,00
10/11/2023;194,00
11/11/2023;200,00
12/11/2023;257,00
13/11/2023;172,00
14/11/2023;105,00
15/11/2023;225,00
16/11/2023;144,00
17/11/2023;211,00
18/11/2023;298,00
19/11/2023;257,00
20/11/2023;208,00
21/11/2023;168,00
22/11/2023;221,00
23/11/2023;246,00
24/11/2023;180,00
25/11/2023;197,00
26/11/2023;293,00
27/11/2023;145,00
28/11/2023;232,00
29/11/2023;172,00
30/11/2023;206,00
1/12/2023;216,00
2/12/2023;238,00
3/12/2023;198,00
4/12/2023;200,00
5/12/2023;225,00
6/12/2023;195,00
7/12/2023;218,00
8/12/2023;180,00
9/12/2023;234,00
10/12/2023;213,00
11/12/2023;223,00
12/12/2023;201,00
13/12/2023;259,00
14/12/2023;267,00
15/12/2023;205,00
16/12/2023;250,00
17/12/2023;471,00
18/12/2023;213,00
19/12/2023;292,00
20/12/2023;366,00
21/12/2023;223,00
22/12/2023;244,00
23/12/2023;409,00
24/12/2023;338,00
25/12/2023;222,00
26/12/2023;404,00
27/12/2023;420,00
28/12/2023;182,00
29/12/2023;398,00
30/12/2023;322,00
31/12/2023;249,00
